LastName,Firstname,Student ID,DOB,Class,Status,Enrolled
Smith,James,0354009,031395,COMM-1-95775,A,1/6/2017
Jones,John,0353728,031390,COMM-1-95775,A,1/6/2017
Taylor,Robert,0354454,031397,COMM-1-95775,R,1/6/2017
Williams,Michael,0353918,031393,COMM-1-95775,R,11/29/2016
Brown,William,0353973,031391,COMM-1-95775,R,11/29/2016
Davies,David,0354141,031392,COMM-1-95775,R,11/29/2016
Evans,Richard,0354422,031391,COMM-1-95775,R,1/6/2017
Wilson,Charles,0354269,031391,COMM-1-95775,X,1/6/2017
Thomas,Joseph,0353875,031389,COMM-1-95775,R,1/6/2017
Roberts,Thomas,0202770,031173,COMM-1-95775,R,1/5/2017
John,Doe,0008956,050593,COMM-1-95775,R,12/13/2016
John,Doe,0000689,120197,COMM-1-95775,R,12/10/2016
John,Doe,0000123,010695,MATH-502-97430,R,11/13/2016
Johnson,Christopher,0202324,031173,MATH-502-97430,A,3/30/2017
Williams,Michael,0353918,031393,MATH-502-97430,R,11/29/2016
Brown,William,0353973,031391,MATH-502-97430,R,11/29/2016
Lewis,Daniel,0202797,031175,MATH-502-97430,A,2/28/2017
Walker,Paul,0355237,080591,MATH-502-97430,R,12/8/2016
Robinson,Mark,0354396,080593,MATH-502-97430,R,12/8/2016
Wood,Donald,0355049,080597,MATH-502-97430,D,2/23/2017
Thompson,George,0354434,080595,MATH-502-97430,D,2/23/2017
White,Kenneth,0355386,080595,MATH-502-97430,R,12/8/2016
Watson,Steven,0354419,080598,MATH-502-97430,X,2/23/2017
Jackson,Edward,0354802,080589,LS-264-96506,X,2/23/2017
White,Kenneth,0355386,080595,LS-264-96506,R,12/8/2016
Watson,Steven,0354419,080598,LS-264-96506,X,2/23/2017
Wright,Brian,0355222,080592,LS-264-96506,R,12/8/2016
Green,Ronald,0324435,072586,LS-264-96506,D,2/3/2017
Harris,Anthony,0324510,072588,LS-264-96506,D,2/7/2017
Cooper,Kevin,0313433,061887,LS-264-96506,R,1/20/2017
King,Jason,0313442,061893,LS-264-96506,R,1/21/2017
Lee,Matthew,0313152,061888,LS-264-96506,D,1/27/2017
Martin,Gary,0313814,061894,LS-264-96506,A,1/27/2017
Clarke,Timothy,0355212,090387,LS-264-96506,A,1/31/2017
James,Jose,0355841,090393,LS-264-96506,A,2/3/2017
Morgan,Larry,0355481,090385,LS-264-96506,A,1/23/2017
Hughes,Jeffrey,0355301,090392,LS-264-96506,X,12/1/2016
Edwards,Frank,0355249,090387,ART-8A-95521,R,11/30/2016
Martin,Gary,0313814,061894,ART-8A-95521,A,1/27/2017
Clarke,Timothy,0355212,090387,ART-8A-95521,A,1/31/2017
James,Jose,0355841,090393,ART-8A-95521,A,2/3/2017
Morgan,Larry,0355481,090385,ART-8A-95521,A,1/23/2017
Hill,Scott,0355660,090387,ART-8A-95521,D,3/5/2017
Moore,Eric,0355424,090391,ART-8A-95521,R,12/1/2016
Clark,Stephen,0146657,111475,ART-8A-95521,R,12/1/2016
Harrison,Andrew,0344118,110595,ART-8A-95521,R,1/13/2017
Scott,Raymond,0344081,110589,ART-8A-95521,X,11/28/2016
Young,Gregory,0343734,110593,ART-8A-95521,R,11/28/2016
